llaveviv,p0_1,p0_2,p0_3,p0_4_1,p0_4_1a,p0_4_2,p0_4_2a,p1_1,p1_2,p1_3,folio,viv_sel,ent,tloc,region,est_dis,upm_dis,fac_viv
101,2,4,1,1,2,1,1,3,1,,1,1,3,1,1,17,196,613
210,1,3,1,1,1,1,1,1,1,,2,10,31,3,6,179,2088,1811
303,2,4,1,1,1,1,1,2,1,,3,3,9,1,4,50,763,485
401,1,4,1,1,1,1,1,1,1,,4,1,3,1,1,17,182,715
503,3,6,2,2,,1,1,4,1,,5,3,9,1,4,49,631,3756
603,2,4,1,2,,1,2,4,1,,6,3,7,1,6,40,459,4492
704,1,3,0,1,1,2,,6,1,,7,4,20,4,6,111,1380,3726
803,1,3,1,2,,2,,3,1,,8,3,24,2,2,135,1585,1797
904,3,4,1,2,,1,1,4,1,,9,4,19,1,2,107,1297,3504
1004,3,4,1,1,1,1,1,4,1,,10,4,2,1,1,11,136,2692
1102,3,5,2,1,1,1,1,4,1,,11,2,22,1,3,127,1481,2049
1201,3,5,2,1,1,1,1,5,1,,12,1,11,4,3,57,834,19030
1303,2,4,1,2,,1,1,5,1,,13,3,27,1,6,156,1831,1596
1408,3,3,0,2,,1,2,2,1,,14,8,7,4,6,39,454,3356
1504,1,4,1,2,,1,1,2,1,,15,4,17,1,5,97,1171,1518
1609,3,4,1,2,,1,1,6,1,,16,9,14,4,3,77,970,8757
1704,3,5,1,1,1,1,1,4,1,,17,4,5,1,2,30,358,1424
1816,2,3,1,2,,2,,2,1,,18,16,13,4,5,70,933,2426
1904,5,8,2,1,3,1,1,5,1,,19,4,8,1,1,44,508,2710
2008,1,2,1,2,,2,,1,1,,20,8,28,4,2,160,1848,1343
2105,3,5,2,1,1,1,1,4,1,,21,5,15,1,5,87,1095,11960
2205,3,3,1,1,1,1,1,3,1,,22,5,11,1,3,59,861,5503
2318,1,3,1,2,,2,,1,1,,23,18,16,3,3,88,1108,4784
2413,2,4,1,1,1,1,1,2,1,,24,13,2,4,1,8,63,1922
2502,1,5,2,1,1,1,1,2,1,,25,2,9,1,4,50,735,2939
2601,2,5,2,1,1,1,1,4,2,2,26,1,32,3,3,186,2143,1518
2701,2,5,1,1,1,1,1,1,1,,27,1,28,1,2,164,1953,2054
2805,2,3,0,2,,2,,4,1,,28,5,11,2,3,56,829,19751
2920,2,2,1,1,1,1,1,6,1,,29,20,27,2,6,153,1812,2385
3001,3,5,2,2,,2,,5,1,,30,1,9,1,4,50,736,2891
3102,3,4,0,2,,1,1,7,1,,31,2,21,1,5,120,1419,6156
3209,2,3,1,2,,2,,2,1,,32,9,16,4,3,89,1113,3018
3316,2,3,1,2,,2,,4,1,,33,16,27,3,6,153,1811,2396
3403,3,4,1,1,2,1,1,4,1,,34,3,5,1,2,30,356,1435
3504,2,2,1,1,2,1,1,6,1,,35,4,26,1,1,151,1773,2173
3603,3,7,3,1,2,1,1,1,1,,36,3,22,1,3,127,1494,1700
3704,2,3,1,1,2,1,1,5,1,,37,4,2,1,1,11,137,2455
3804,2,3,1,1,1,1,1,3,1,,38,4,28,1,2,164,1958,1911
3903,2,6,1,2,,1,1,3,1,,39,3,9,1,4,49,612,4271
4014,2,4,1,2,,2,,2,1,,40,14,12,4,6,63,888,2579
4102,2,4,1,1,1,1,1,3,1,,41,2,13,4,5,71,934,2679
4215,3,4,1,2,,1,2,5,1,,42,15,21,2,5,116,1407,6595
4315,3,5,2,1,2,1,1,3,1,,43,15,8,4,1,43,482,3070
4405,1,2,0,2,,2,,1,1,,44,5,15,3,5,85,1027,15661
4511,2,4,0,2,,2,,2,1,,45,11,27,4,6,155,1821,1493
4604,1,4,2,2,,1,1,2,1,,46,4,12,1,6,65,900,2894
4705,1,3,1,2,,1,1,3,1,,47,5,29,3,5,169,1986,1167
4815,1,2,0,2,,2,,1,1,,48,15,12,4,6,63,887,2678
4901,1,5,0,2,,1,1,7,1,,49,1,9,1,4,49,670,2177
5004,1,4,1,2,,1,1,2,1,,50,4,23,1,6,132,1555,1256
5101,1,2,1,2,,2,,2,1,,51,1,13,4,5,70,931,3702
5205,1,5,1,1,1,1,1,4,1,,52,5,5,1,2,29,290,1726
5305,3,5,3,1,1,1,1,3,1,,53,5,17,1,5,98,1199,1137
5410,1,3,1,2,,1,1,4,1,,54,10,32,2,3,186,2142,1673
5519,1,4,1,2,,2,,2,1,,55,19,19,3,2,105,1255,1919
5606,3,5,1,1,1,2,,2,1,,56,6,29,4,5,167,1976,500
5704,3,6,1,1,3,1,1,3,1,,57,4,9,1,4,50,750,2094
5805,2,4,1,1,1,1,1,1,1,,58,5,2,1,1,11,134,2795
5909,3,4,0,1,2,1,2,5,1,,59,9,30,4,5,173,2043,4521
6004,2,4,1,1,1,1,1,4,1,,60,4,26,1,1,152,1801,2119
6103,2,3,1,1,1,1,1,2,1,,61,3,11,1,3,59,863,5357
6214,1,1,0,2,,1,1,1,1,,62,14,12,2,6,62,879,3249
6316,3,5,1,1,2,1,1,5,1,,63,16,24,4,2,137,1597,1065
6403,3,7,2,1,3,1,1,3,1,,64,3,10,1,1,54,811,1294
6519,3,5,1,1,1,1,1,3,1,,65,19,10,3,1,51,765,1494
6614,3,4,1,2,,1,2,5,1,,66,14,32,4,3,187,2146,1688
6705,1,2,1,2,,2,,1,1,,67,5,4,1,6,23,250,380
6804,3,6,3,2,,1,1,3,1,,68,4,9,1,4,49,607,4573
6903,4,5,2,2,,1,1,4,1,,69,3,18,3,3,100,1214,1363
7003,3,4,1,2,,1,1,4,1,,70,3,1,1,3,5,39,1139
7103,2,3,1,2,,2,,5,1,,71,3,25,4,1,143,1683,811
7215,3,7,1,1,1,1,1,3,1,,72,15,32,2,3,186,2142,1673
7302,3,4,1,1,1,1,1,1,1,,73,2,2,1,1,11,139,2151
7402,2,5,1,1,1,1,1,4,1,,74,2,15,1,5,85,1044,11976
7501,2,5,1,2,,1,1,3,1,,75,1,21,1,5,120,1427,4872
7615,1,2,1,1,1,2,,2,1,,76,15,8,4,1,43,484,2372
7718,3,5,1,2,,1,2,8,1,,77,18,7,3,6,37,443,3934
7803,2,3,1,1,1,1,1,4,1,,78,3,32,1,3,190,2171,1808
7912,2,3,1,2,,1,1,3,1,,79,12,20,3,6,109,1374,2508
8009,1,2,0,2,,2,,5,1,,80,9,30,4,5,173,2040,4785
8111,2,3,0,2,,2,,3,1,,81,11,7,4,6,39,454,3356
8203,2,3,1,1,1,1,1,3,1,,82,3,2,1,1,10,96,3718
8301,2,3,1,2,,1,1,2,1,,83,1,9,1,4,49,649,3262
8402,2,3,1,1,1,1,1,3,1,,84,2,9,1,4,50,682,3886
8520,3,3,1,1,1,1,1,7,1,,85,20,25,4,1,143,1678,2442
8604,2,4,1,2,,1,1,2,1,,86,4,5,2,2,27,276,1431
8717,2,3,2,1,1,1,1,2,1,,87,17,19,3,2,105,1255,1919
8802,2,5,1,2,,1,1,5,1,,88,2,9,1,4,49,622,4001
8904,2,4,2,1,1,1,1,4,1,,89,4,24,4,2,137,1599,1009
9001,4,6,1,1,1,1,1,1,1,,90,1,16,2,3,88,1109,4626
9111,2,3,1,1,2,2,,5,1,,91,11,8,4,1,43,484,2372
9216,2,5,1,1,1,1,1,4,1,,92,16,21,3,5,115,1405,6115
9302,1,3,1,1,1,2,,1,1,,93,2,32,2,3,185,2139,1468
9403,2,5,2,1,2,2,,3,1,,94,3,14,1,3,79,991,8242
9505,2,3,1,1,1,1,1,3,1,,95,5,25,1,1,144,1687,3018
9619,2,3,0,2,,2,,3,1,,96,19,24,4,2,136,1588,1337
9703,3,6,1,2,,2,,7,1,,97,3,24,1,2,138,1604,1399
9816,2,3,1,2,,1,1,2,1,,98,16,20,2,6,110,1375,5038
9904,1,2,1,1,1,1,1,1,1,,99,4,27,4,6,155,1818,1651
10001,2,3,1,2,,1,1,2,1,,100,1,15,2,5,81,1014,20259
10103,2,4,1,2,,1,1,3,1,,101,3,24,1,2,139,1641,1237
10203,4,5,2,1,1,1,1,3,1,,102,3,15,1,5,86,1089,2758
10305,3,6,2,1,1,1,1,4,1,,103,5,4,1,6,23,245,744
10405,1,1,0,2,,1,1,1,1,,104,5,9,1,4,49,658,3100
10502,1,3,1,2,,2,,1,1,,105,2,5,1,2,30,357,1426
10602,2,3,1,1,2,1,1,3,1,,106,2,5,1,2,30,356,1435
10709,1,1,1,1,1,1,1,4,1,,107,9,26,2,1,147,1736,2632
10804,2,4,2,1,1,1,1,3,1,,108,4,9,1,4,50,754,1844
10911,1,5,2,2,,2,,1,1,,109,11,11,3,3,56,830,5624
11005,2,5,1,1,1,1,1,5,1,,110,5,8,1,1,45,521,3216
11102,1,2,0,2,,1,1,5,1,,111,2,18,1,3,103,1239,952
11201,1,4,1,1,1,1,1,3,1,,112,1,14,4,3,77,969,10589
11305,3,5,1,1,2,1,1,3,2,3,113,5,14,1,3,78,981,8739
11401,4,5,2,1,1,1,2,6,1,,114,1,24,3,2,138,1607,1334
11501,3,5,1,2,,1,1,6,1,,115,1,15,1,5,85,1029,15501
11601,3,4,1,1,1,2,,3,1,,116,1,13,4,5,71,938,2501
11710,2,3,1,1,1,1,1,5,1,,117,10,16,3,3,88,1108,4784
11806,1,4,1,1,1,1,1,2,1,,118,6,27,2,6,153,1812,2385
11904,2,4,1,1,1,1,1,5,1,,119,4,5,1,2,29,282,1842
12001,4,7,2,1,3,1,1,6,1,,120,1,28,1,2,163,1942,1687
12113,3,4,1,2,,1,1,5,1,,121,13,13,2,5,67,923,1581
12215,1,3,1,1,1,2,,2,1,,122,15,8,2,1,42,480,3631
12304,3,4,1,1,1,1,1,5,1,,123,4,15,2,5,85,1041,12342
12404,3,4,1,1,1,1,1,2,1,,124,4,25,1,1,145,1720,1138
12505,1,2,1,1,1,1,1,1,1,,125,5,26,1,1,152,1797,2217
12602,2,4,1,1,1,1,1,1,1,,126,2,8,1,1,44,504,2767
12714,3,4,1,2,,2,,6,1,,127,14,15,4,5,83,1024,5447
12805,1,2,1,2,,1,1,1,1,,128,5,6,1,3,35,420,813
12904,2,3,1,1,1,1,1,4,1,,129,4,25,1,1,146,1728,3474
13002,2,3,1,2,,2,,3,1,,130,2,4,1,6,23,246,730
13105,1,4,2,1,2,1,1,3,1,,131,5,8,1,1,46,538,3159
13208,2,3,0,2,,2,,6,1,,132,8,20,4,6,111,1385,3030
13319,2,5,1,1,1,1,1,2,1,,133,19,20,2,6,110,1375,5038
13402,2,2,1,2,,1,1,6,1,,134,2,15,1,5,85,1047,11613
13513,1,1,0,2,,2,,2,1,,135,13,24,3,2,135,1586,1785
13601,3,3,1,1,1,1,1,8,2,2,136,1,5,1,2,29,319,1512
13708,1,4,1,2,,2,,1,1,,137,8,22,4,3,125,1467,2137
13808,1,1,0,2,,2,,4,1,,138,8,24,4,2,136,1589,1281
13904,1,5,1,1,1,1,1,3,1,,139,4,9,1,4,50,715,3333
14004,3,5,1,1,1,1,1,8,1,,140,4,28,1,2,163,1927,1767
14110,2,3,0,2,,1,1,5,1,,141,10,30,4,5,173,2041,4774
14204,2,3,1,2,,1,1,2,1,,142,4,29,4,5,169,2008,972
14304,3,4,1,1,2,1,1,9,1,,143,4,28,1,2,163,1945,1648
14409,4,8,2,1,1,1,1,6,1,,144,9,1,2,3,2,6,392
14514,2,3,1,1,2,1,1,3,1,,145,14,3,4,1,14,148,833
14617,3,5,1,1,1,1,1,3,1,,146,17,27,3,6,153,1808,2893
14703,2,3,1,2,,2,,5,1,,147,3,23,1,6,133,1564,1797
14801,2,3,1,2,,1,1,1,1,,148,1,15,1,5,86,1087,7105
14904,2,3,0,2,,2,,3,1,,149,4,15,3,5,85,1027,15661
15002,1,2,1,2,,1,2,6,1,,150,2,25,2,1,141,1674,2705
15108,2,5,1,1,2,1,1,5,1,,151,8,5,2,2,26,274,1433
15203,4,5,1,1,1,1,1,5,1,,152,3,14,1,3,79,996,7162
15301,3,6,1,1,3,1,1,4,1,,153,1,3,2,1,13,147,488
15404,1,2,0,2,,2,,5,1,,154,4,15,3,5,81,1015,19018
15504,2,5,2,1,1,1,1,4,1,,155,4,28,1,2,164,1956,2005
15602,2,5,1,2,,1,1,2,1,,156,2,31,1,6,183,2122,1914
15704,2,7,3,2,,2,,1,1,,157,4,6,1,3,35,414,927
15816,3,4,0,1,1,1,1,5,1,,158,16,24,4,2,137,1600,973
15903,2,5,1,1,1,1,1,4,1,,159,3,30,1,5,176,2072,5849
16001,2,4,1,1,2,1,1,4,1,,160,1,26,1,1,152,1799,2201
16104,3,6,3,1,3,1,1,3,1,,161,4,27,3,6,158,1839,3897
16202,2,3,1,2,,1,1,2,1,,162,2,17,1,5,98,1197,1206
16308,3,4,1,2,,2,,5,2,2,163,8,16,4,3,89,1112,3033
16406,2,4,0,2,,2,,3,1,,164,6,20,4,6,111,1379,3848
16501,2,5,2,1,1,1,1,2,1,,165,1,13,2,5,68,924,5515
16601,2,6,2,1,1,1,1,2,1,,166,1,31,1,6,183,2111,2375
16703,1,3,3,1,1,1,1,2,1,,167,3,12,1,6,65,899,2951
16805,1,2,2,1,2,1,1,3,1,,168,5,6,1,3,34,411,728
16902,5,8,2,2,,1,1,4,1,,169,2,9,1,4,49,636,3624
17005,2,3,1,2,,1,1,3,1,,170,5,16,1,3,91,1127,3613
17118,2,4,0,2,,1,1,6,1,,171,18,30,4,5,173,2043,4521
17205,1,3,1,2,,1,1,1,1,,172,5,22,3,3,126,1475,1858
17316,2,4,1,1,1,1,1,3,1,,173,16,23,2,6,129,1514,2031
17420,2,3,0,2,,2,,2,1,,174,20,24,4,2,137,1600,973
17517,3,5,1,2,,2,,1,1,,175,17,29,2,5,166,1969,729
17612,2,4,1,1,1,1,1,4,1,,176,12,20,3,6,110,1376,4727
17720,2,3,1,2,,1,1,6,1,,177,20,27,4,6,155,1818,1651
17803,2,4,1,2,,1,1,2,1,,178,3,14,2,3,75,961,16402
17905,1,3,1,2,,1,1,1,1,,179,5,1,1,3,5,34,1336
18004,4,4,3,2,,2,,4,1,,180,4,3,1,1,15,154,698
18104,3,6,1,1,2,1,1,1,1,,181,4,13,3,5,67,919,1831
18204,2,3,1,2,,1,1,5,1,,182,4,28,1,2,162,1887,1655
18310,2,3,1,2,,1,1,3,1,,183,10,11,3,3,56,832,4770
18402,2,4,1,1,1,2,,2,1,,184,2,29,3,5,170,2015,1223
18505,2,3,1,2,,1,1,5,1,,185,5,2,4,1,8,63,1922
18607,3,6,1,2,,1,1,4,1,,186,7,15,4,5,83,1023,11415
18702,2,4,1,2,,1,1,2,1,,187,2,22,1,3,127,1488,1944
18802,1,2,1,2,,2,,2,1,,188,2,3,1,1,17,190,665
18904,3,4,1,1,2,1,1,3,1,,189,4,3,1,1,17,187,686
19002,3,5,1,1,1,1,1,6,1,,190,2,29,2,5,169,2006,987
19104,2,3,1,2,,1,1,2,1,,191,4,19,1,2,107,1324,3029
19211,1,1,1,2,,2,,1,1,,192,11,3,3,1,12,144,592
19312,2,2,1,2,,1,1,4,1,,193,12,26,2,1,147,1737,2630
19402,2,3,1,2,,1,1,5,1,,194,2,19,1,2,107,1302,3301
19504,2,3,1,2,,1,1,3,1,,195,4,19,1,2,106,1283,3163
19619,2,4,1,2,,1,1,4,1,,196,19,27,3,6,153,1809,2602
19705,3,4,2,2,,2,,3,1,,197,5,16,1,3,92,1128,5229
19805,3,6,1,1,2,1,1,5,1,,198,5,19,1,2,106,1286,3116
19904,2,4,1,1,1,1,1,2,1,,199,4,32,1,3,189,2161,1175
20003,1,6,1,2,,1,1,3,1,,200,3,26,1,1,151,1788,1815
20118,1,2,1,2,,2,,2,1,,201,18,11,3,3,56,830,5624
20201,2,6,1,2,,1,2,3,1,,202,1,6,1,3,34,402,809
20301,3,6,3,1,1,1,1,3,1,,203,1,22,2,3,128,1501,2174
20409,2,2,1,1,1,1,1,6,1,,204,9,26,4,1,149,1740,2152
20504,2,4,0,1,1,1,1,5,1,,205,4,7,4,6,39,451,3817
20602,4,5,1,2,,1,1,4,1,,206,2,19,1,2,108,1336,3461
20703,1,3,1,2,,1,1,2,1,,207,3,9,1,4,49,624,3913
20805,3,8,3,1,1,1,1,1,1,,208,5,24,1,2,140,1658,1419
20910,1,2,1,2,,1,1,4,1,,209,10,4,3,6,20,223,797
21004,4,5,2,1,1,1,1,2,1,,210,4,12,1,6,66,908,3730
21104,2,4,1,1,1,1,1,4,1,,211,4,9,1,4,49,640,3566
21205,1,3,1,2,,1,1,1,1,,212,5,25,1,1,144,1697,2258
21302,3,5,1,1,2,1,2,10,1,,213,2,10,4,1,52,768,1450
21407,3,5,1,1,1,1,1,3,1,,214,7,13,3,5,67,919,1831
21517,1,2,0,2,,2,,3,1,,215,17,20,4,6,111,1381,3504
21604,2,3,1,1,1,1,1,4,1,,216,4,19,1,2,106,1271,3317
21704,1,2,1,2,,1,1,2,1,,217,4,32,1,3,189,2157,1267
21809,2,4,1,2,,2,,7,1,,218,9,11,2,3,56,831,4889
21904,2,4,3,1,2,1,1,2,1,,219,4,14,1,3,79,986,9208
22002,2,2,1,2,,1,1,6,1,,220,2,23,1,6,132,1535,1754
22102,2,6,2,1,2,1,1,4,1,,221,2,5,1,2,30,346,1489
22204,1,3,2,1,1,1,1,1,1,,222,4,17,1,5,98,1199,1137
22305,1,5,1,1,5,1,1,1,1,,223,5,5,1,2,29,319,1512
22420,3,4,1,1,1,1,1,4,1,,224,20,11,3,3,56,832,4770
22501,2,4,1,1,1,1,1,2,1,,225,1,19,1,2,107,1322,3056
22612,2,5,1,2,,1,1,4,1,,226,12,4,3,6,20,223,797
22705,1,3,1,2,,1,1,2,1,,227,5,23,1,6,131,1521,1873
22801,3,5,1,1,1,1,1,4,1,,228,1,28,4,2,160,1848,1343
22904,1,2,1,2,,1,1,4,1,,229,4,14,1,3,78,973,11411
23004,2,4,1,2,,2,,2,1,,230,4,10,4,1,52,771,1323
23105,2,3,1,1,1,2,,3,1,,231,5,29,4,5,167,1973,2789
23202,1,2,1,1,1,1,1,1,1,,232,2,28,1,2,162,1907,1463
23304,2,4,2,2,,1,1,2,1,,233,4,31,1,6,183,2119,2058
23404,2,4,1,2,,1,1,5,1,,234,4,27,4,6,154,1814,2660
23503,2,4,1,2,,2,,5,1,,235,3,24,4,2,137,1600,973
23604,5,11,1,2,,1,1,8,2,3,236,4,21,1,5,121,1446,3141
23703,4,7,3,1,3,1,1,4,1,,237,3,14,1,3,79,993,7413
23818,4,5,1,2,,1,1,7,1,,238,18,12,2,6,61,876,2994
23904,2,3,1,1,1,1,1,2,1,,239,4,5,1,2,29,309,1593
24002,1,2,1,1,1,1,1,1,1,,240,2,14,1,3,79,992,7674
24101,2,5,2,2,,2,,2,1,,241,1,18,1,3,103,1237,1027
24204,2,3,1,1,1,1,1,3,1,,242,4,29,3,5,169,2005,989
24318,1,2,1,2,,1,1,1,1,,243,18,26,3,1,147,1735,2939
24404,1,3,0,2,,1,1,1,1,,244,4,9,1,4,49,668,2665
24502,2,2,1,1,1,1,1,2,1,,245,2,24,1,2,139,1643,1214
24604,1,2,1,1,1,1,1,3,1,,246,4,25,1,1,145,1699,2772
24701,4,6,2,1,1,1,1,10,1,,247,1,29,3,5,166,1966,2755
24805,4,4,3,2,,1,1,3,1,,248,5,2,1,1,9,92,2345
24902,2,3,0,2,,1,1,4,1,,249,2,4,1,6,24,252,853
25002,2,3,1,1,1,1,1,5,1,,250,2,19,3,2,105,1255,1919
25102,1,1,1,2,,2,,1,1,,251,2,17,1,5,97,1160,1876
25205,1,2,2,1,1,1,1,1,1,,252,5,14,3,3,75,962,15240
25302,1,3,1,1,2,1,1,2,1,,253,2,2,1,1,9,78,3090
25413,1,2,1,2,,2,,4,1,,254,13,25,4,1,143,1680,2209
25502,1,4,1,2,,1,1,4,1,,255,2,31,1,6,183,2118,2076
25607,2,4,1,1,1,1,1,5,1,,256,7,9,4,4,47,556,1507
25705,2,3,2,1,1,1,1,1,1,,257,5,26,1,1,152,1801,2119
25807,2,6,1,1,1,2,,5,1,,258,7,17,4,5,96,1157,995
25903,2,3,1,1,1,2,,3,1,,259,3,14,4,3,77,969,10589
26001,2,4,1,2,,2,,6,1,,260,1,28,1,2,162,1909,1376
26114,3,5,1,2,,2,,7,1,,261,14,29,4,5,167,1976,500
26201,2,3,1,2,,2,,2,1,,262,1,2,1,1,9,66,3514
26304,3,4,1,1,1,1,1,4,1,,263,4,8,2,1,42,479,11188
26410,2,4,1,2,,2,,4,1,,264,10,18,4,3,101,1218,1072
26503,3,5,1,2,,1,1,5,1,,265,3,22,1,3,126,1478,1530
26613,2,5,1,2,,1,2,4,1,,266,13,20,3,6,110,1376,4727
26704,2,3,1,1,1,1,1,7,1,,267,4,18,1,3,102,1222,1297
26801,2,3,1,1,1,1,1,3,1,,268,1,11,1,3,58,842,5752
26905,3,4,2,1,1,1,1,4,1,,269,5,23,1,6,132,1552,1391
27013,3,6,1,1,1,1,1,7,1,,270,13,17,3,5,94,1149,880
27102,2,4,1,1,1,1,1,3,1,,271,2,17,3,5,99,1202,1757
27203,3,3,1,2,,1,1,5,1,,272,3,17,1,5,97,1170,1534
27312,2,2,0,2,,2,,3,1,,273,12,21,4,5,117,1411,4824
27404,3,7,3,1,2,1,1,3,1,,274,4,2,1,1,10,106,2989
27509,1,2,1,2,,1,1,3,1,,275,9,2,2,1,7,60,4118
27605,1,1,1,2,,1,1,1,1,,276,5,23,4,6,130,1515,1790
27712,1,2,0,2,,2,,1,1,,277,12,27,4,6,155,1819,1628
27804,2,3,1,1,1,1,1,3,1,,278,4,6,1,3,35,431,727
27901,3,5,1,1,3,1,1,4,1,,279,1,24,1,2,140,1653,1495
28006,1,2,1,2,,1,1,1,1,,280,6,13,4,5,71,937,2578
28105,2,4,1,1,1,1,1,2,1,,281,5,28,1,2,162,1908,1446
28205,2,4,1,2,,1,1,1,1,,282,5,28,1,2,163,1916,1926
28301,1,4,1,1,2,1,1,2,1,,283,1,5,1,2,31,379,1799
28405,2,3,1,2,,1,1,4,1,,284,5,10,1,1,54,815,1250
28501,2,4,2,1,1,2,,1,1,,285,1,22,1,3,128,1505,2103
28605,3,6,3,1,2,1,1,6,1,,286,5,7,1,6,41,471,4775
28702,1,2,1,1,1,1,1,3,1,,287,2,28,1,2,162,1899,1566
28804,2,2,1,2,,2,,5,1,,288,4,10,1,1,54,797,1406
28918,3,6,1,1,1,1,1,2,1,,289,18,5,2,2,27,276,1431
29005,1,2,0,2,,1,2,4,1,,290,5,7,3,6,37,443,3934
29109,4,5,2,2,,1,1,6,1,,291,9,11,3,3,56,830,5624
29202,2,3,1,1,1,2,,4,1,,292,2,29,3,5,169,1993,1100
29305,2,2,1,2,,2,,4,1,,293,5,7,1,6,40,461,4273
29411,2,4,1,2,,2,,1,1,,294,11,18,4,3,101,1217,1108
29517,3,7,2,1,4,1,1,2,1,,295,17,8,4,1,43,482,3070
29604,3,5,2,2,,2,,5,1,,296,4,15,1,5,85,1030,15076
29701,3,4,1,1,1,1,1,2,1,,297,1,9,1,4,48,602,1454
29813,4,5,1,1,1,1,1,3,2,2,298,13,13,4,5,71,937,2578
29904,2,3,1,1,1,1,1,2,1,,299,4,5,2,2,30,348,1476
30002,3,6,2,1,2,1,1,5,1,,300,2,19,1,2,108,1349,3298
30103,2,3,0,2,,2,,6,1,,301,3,7,4,6,39,452,3699
30203,1,1,1,2,,2,,3,1,,302,3,8,1,1,44,495,2970
30302,3,7,2,1,1,1,1,5,1,,303,2,9,1,4,49,623,3934
30402,3,5,2,1,1,1,1,4,1,,304,2,5,1,2,31,379,1799
30503,3,4,3,1,3,1,1,5,1,,305,3,26,1,1,152,1805,1980
30603,1,5,1,2,,1,2,2,1,,306,3,7,3,6,37,443,3934
30705,2,3,1,1,1,1,1,4,1,,307,5,11,1,3,58,840,5935
30802,2,4,1,1,2,1,1,2,1,,308,2,2,1,1,9,90,2545
30901,2,5,1,1,1,1,1,3,1,,309,1,28,1,2,164,1960,1830
31001,2,5,4,1,2,1,1,2,1,,310,1,31,1,6,184,2135,2421
31102,1,2,1,2,,2,,2,1,,311,2,25,1,1,145,1703,2703
31202,2,3,1,2,,1,1,8,1,,312,2,7,4,6,39,450,4023
31301,3,6,2,1,4,1,1,6,1,,313,1,28,1,2,164,1959,1904
31401,1,2,1,2,,1,1,2,1,,314,1,23,1,6,132,1532,1887
31501,2,3,1,2,,1,1,3,1,,315,1,18,1,3,102,1222,1297
31604,2,5,2,1,1,1,1,3,1,,316,4,13,1,5,72,945,1958
31702,2,4,1,1,1,1,1,2,1,,317,2,15,1,5,86,1078,10950
31815,1,3,1,2,,1,2,4,1,,318,15,25,2,1,142,1677,2524
31905,2,5,1,1,1,1,1,2,1,,319,5,10,1,1,54,803,1326
32002,1,3,1,2,,2,,1,1,,320,2,9,1,4,49,614,4170
32101,2,4,1,1,1,2,,1,1,,321,1,28,1,2,162,1854,1989
32203,1,1,1,2,,1,1,2,1,,322,3,4,1,6,24,254,833
32302,2,3,1,2,,1,1,2,1,,323,2,18,1,3,103,1231,1105
32416,1,3,0,2,,2,,2,1,,324,16,17,4,5,96,1156,1044
32507,2,6,2,1,1,1,1,4,1,,325,7,17,4,5,96,1156,1044
32613,2,3,1,2,,1,1,6,1,,326,13,1,4,3,3,8,1437
32713,1,1,0,2,,2,,3,1,,327,13,30,3,5,172,2037,7808
32805,1,4,1,2,,2,,2,1,,328,5,29,3,5,170,2015,1223
32916,1,6,1,2,,2,,1,1,,329,16,30,3,5,172,2038,7808
33003,1,2,1,2,,2,,1,1,,330,3,28,1,2,162,1876,1713
33113,1,3,1,1,1,1,1,3,1,,331,13,18,2,3,100,1212,1495
33203,3,4,1,1,1,1,1,4,1,,332,3,20,2,6,113,1397,2146
33301,1,3,1,2,,1,1,4,1,,333,1,9,1,4,49,659,3093
33403,4,6,2,1,1,1,1,1,1,,334,3,30,2,5,172,2035,8713
33503,3,7,2,1,2,1,1,4,1,,335,3,13,1,5,73,950,2414
33615,2,4,1,2,,1,1,4,1,,336,15,27,4,6,155,1818,1651
33709,1,2,0,2,,2,,2,1,,337,9,21,2,5,116,1407,6595
33801,1,4,1,2,,2,,2,1,,338,1,5,1,2,30,335,1555
33906,2,4,2,2,,1,1,7,1,,339,6,27,4,6,154,1814,2660
34003,3,4,1,1,2,1,1,5,1,,340,3,3,1,1,18,200,1020
34117,2,4,1,1,2,1,1,3,1,,341,17,10,4,1,52,770,1405
34201,2,4,1,1,1,1,1,4,1,,342,1,19,1,2,106,1262,3621
34301,2,4,2,1,1,1,1,3,1,,343,1,1,1,3,5,33,1371
34403,2,3,1,1,1,1,1,3,1,,344,3,8,1,1,45,524,3117
34519,2,3,1,2,,2,,1,1,,345,19,17,3,5,94,1147,952
34601,2,4,1,2,,1,1,1,1,,346,1,22,1,3,127,1482,2035
34718,1,5,0,2,,2,,5,1,,347,18,30,4,5,173,2040,4785
34815,3,6,1,2,,2,,7,1,,348,15,13,3,5,67,920,1739
34905,2,4,1,1,1,1,1,3,1,,349,5,1,2,3,2,6,392
35002,2,6,1,2,,1,1,3,1,,350,2,21,1,5,120,1422,5722
35112,2,3,1,2,,2,,6,1,,351,12,17,4,5,96,1157,995
35217,2,3,1,2,,2,,8,1,,352,17,27,3,6,153,1813,2357
35303,3,5,1,1,1,1,1,4,1,,353,3,1,1,3,5,44,882
35402,2,3,1,1,2,2,,2,1,,354,2,28,1,2,164,1959,1904
35512,1,2,1,2,,2,,3,1,,355,12,29,4,5,167,1976,500
35616,5,7,2,2,,2,,6,1,,356,16,29,2,5,166,1969,729
35704,1,2,0,2,,2,,1,1,,357,4,9,1,4,48,602,1454
35803,2,3,1,2,,1,1,2,1,,358,3,11,1,3,58,840,5935
35901,2,4,2,1,1,1,1,2,1,,359,1,29,3,5,170,2018,1060
